text,clean_text,sentiment,average_course_evaluation_rating,dominant_topic,topic_label,topic_probability
The teacher was engaging More group time to work on group activities,the teacher was engaging more group time to work on group activities,positive,4.9091,2,Learning Resources and Materials,0.5723488093950678
Teaching was on time More quizes,teaching was on time more quizes,positive,5.0,0,Assessment Methods and Feedback,0.7934454245605616
"Well detailed notes
Well explained concepts More clear instructions given out during the lab work",well detailed notes well explained concepts more clear instructions given out during the lab work,neutral,3.4545,3,Practical Labs and Hands-on Learning,0.6551517437437848
The Lab works and Quizes More engaging lessons,the lab works and quizes more engaging lessons,neutral,3.6364,0,Assessment Methods and Feedback,0.8643034791547556
Interactive teaching and use of analogies Everything's seemingly fine,interactive teaching and use of analogies everythings seemingly fine,positive,4.6364,0,Assessment Methods and Feedback,0.8393670248011286
Calm class Introduce small class engagements and all,calm class introduce small class engagements and all,neutral,3.0,2,Learning Resources and Materials,0.8381549469016082
"It is involving and practical
Relevant in real life application ",it is involving and practical relevant in real life application,positive,4.3636,1,Course Content and Structure,0.8637684062378573
"relation of content with application to the real world. probably less group work, more individual tasks to push someone to further explore on a certain matter.",relation of content with application to the real world probably less group work more individual tasks to push someone to further explore on a certain matter,positive,4.4545,2,Learning Resources and Materials,0.9311494904041978
"I liked the split between the practicals and theory, gave a good way to practice was we learnt in the theory lessons, helping retain the information and understanding 
I also liked the structure of how the topics were arranged. Everything was very clear and well explained During the labs, I didn't like the fact that due to the difference in systems, some labs couldn't be done by everyone. For example personally I couldn't do much of the docker labs",i liked the split between the practicals and theory gave a good way to practice was we learnt in the theory lessons helping retain the information and understanding i also liked the structure of how the topics were arranged everything was very clear and well explained during the labs i didnt like the fact that due to the difference in systems some labs couldnt be done by everyone for example personally i couldnt do much of the docker labs,positive,4.5455,0,Assessment Methods and Feedback,0.9675155736532587
Data science and Data analysis ,data science and data analysis,positive,4.6364,1,Course Content and Structure,0.7988826641909156
"Learning kmeans
Learning APIs Please have make up CATS because things genuinely happen and it's so unfair to the affected parties",learning kmeans learning apis please have make up cats because things genuinely happen and its so unfair to the affected parties,positive,4.0909,0,Assessment Methods and Feedback,0.8841064751316711
"The lecture was very practical, a clear separation of theory and the practical to further reinforce learning Introduce BI somewhere in third year, to allow students to further appreciate the unit and have a deeper understanding towards it",the lecture was very practical a clear separation of theory and the practical to further reinforce learning introduce bi somewhere in third year to allow students to further appreciate the unit and have a deeper understanding towards it,positive,4.6364,1,Course Content and Structure,0.9493153186503995
The mode of content delivery and assessment More quizzes,the mode of content delivery and assessment more quizzes,positive,4.3636,3,Practical Labs and Hands-on Learning,0.8658028117037555
"I like that everything tested was covered,i liked the fact that we were challenged to do better and to push ourskeves More engagements, not just completing the labs
And the university's machines were crashing sometimes on heavy labs on data engineering",i like that everything tested was coveredi liked the fact that we were challenged to do better and to push ourskeves more engagements not just completing the labs and the universitys machines were crashing sometimes on heavy labs on data engineering,neutral,3.3636,0,Assessment Methods and Feedback,0.931730954553391
The merging between practical and theoretical knowledge A project with a real business scenario through out the modules to help understand business intelligence real life activities,the merging between practical and theoretical knowledge a project with a real business scenario through out the modules to help understand business intelligence real life activities,neutral,3.2727,3,Practical Labs and Hands-on Learning,0.9459998820846962
The content delivery and overall flow of content Reducing the number of lab submissions made throughout the semester,the content delivery and overall flow of content reducing the number of lab submissions made throughout the semester,neutral,3.8182,3,Practical Labs and Hands-on Learning,0.9190866207706461
"Very Practical Business Intelligence as a major should be selected in 3rd year, allowing 2 years of learning. At some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course. Most of the interest points can be explored after the course, however if the 8 topics were spread all through allowing us to fully immerse ourselves into the content, we would be industry ready by the end of our 4th year - positioning us strategically.",very practical business intelligence as a major should be selected in rd year allowing years of learning at some point the depth of the topics and the fast moving nature of a semester made this feel like a crash course most of the interest points can be explored after the course however if the topics were spread all through allowing us to fully immerse ourselves into the content we would be industry ready by the end of our th year positioning us strategically,neutral,3.4545,2,Learning Resources and Materials,0.9642345733293447
"I like how the labs help with the practical knowledge of the concepts. 
I also like how there are explanation videos in the slides I would like more analogies used when teaching.",i like how the labs help with the practical knowledge of the concepts i also like how there are explanation videos in the slides i would like more analogies used when teaching,positive,4.5455,1,Course Content and Structure,0.6702797678441406
I liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class Reduced number of slides,i liked the practical approach to the modules using the labs and also enjoyed the effort put in to show real world applications of concepts learnt in class reduced number of slides,positive,4.7273,1,Course Content and Structure,0.9484261575821417
"I liked the practical examples that were used to understand theory work
The lecturer clarified parts that were not easily understood at first Students should set clear concise goals at the beginning of the semester about what they expect to learn from the course.",i liked the practical examples that were used to understand theory work the lecturer clarified parts that were not easily understood at first students should set clear concise goals at the beginning of the semester about what they expect to learn from the course,positive,4.2727,1,Course Content and Structure,0.5973494976540774
The method of explaining concepts No recommendations,the method of explaining concepts no recommendations,positive,4.9091,3,Practical Labs and Hands-on Learning,0.7953558085854867
"1.How practical the module was 
2.The group work helped me improve my collaboration skills ",how practical the module was the group work helped me improve my collaboration skills,neutral,3.7273,2,Learning Resources and Materials,0.8961213671583371
"1. The topics were developed very clearly and logically, and technical concepts were explained very clearly; making it so that my understanding was enriched throughout.

2. The assignments (particularly the labs) were very insightful, and clearly outlined such that I could follow along and learn concepts that were initially very abstract in the theory classes. There are many assignments that appear to be addressing the same areas within each topic. The reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments, such as the labs.",the topics were developed very clearly and logically and technical concepts were explained very clearly making it so that my understanding was enriched throughout the assignments particularly the labs were very insightful and clearly outlined such that i could follow along and learn concepts that were initially very abstract in the theory classes there are many assignments that appear to be addressing the same areas within each topic the reflective journal for example may be integrated elsewhere to avoid duplicate responses derived from other assignments such as the labs,positive,4.2727,0,Assessment Methods and Feedback,0.9646349999112315
